alpha_occupancy,candidate,collision_count_mean,collision_per_slot_mean,confidence_decay,delay_fraction_mean,discovered_edges_mean,discovery_rate_mean,empty_scan_ratio_mean,episode_count,episodes_per_seed,exploration_floor,generation,is_elite,isolated_node_ratio_mean,lambda2_mean,lcc_ratio_mean,mean_delay_censored_mean,objective_reward_mean,p90_delay_censored_mean,p95_delay_censored_mean,p99_delay_censored_mean,piggyback_sensing_period_multiplier,protocol,rank,reward_mean,score,seed_count,slots_per_episode,softmax_beta,true_edges_seen_mean,evaluation_index
1.2182541705453216,2,4.0,0.0033333333333333,0.995,0.3867592592592592,40.0,0.8888888888888888,0.8909390159390159,1.0,1,0.0548174005293013,0,1,0.0,6.381966011250105,1.0,464.1111111111111,111.31049418191463,1180.4,1200.0,1200.0,1.0177740383016896,improved_rl_isac,1,111.31049418191463,111.31049418191463,1,1200.0,3.3354267211424995,45.0,1
2.0741590656170805,5,22.0,0.0183333333333333,0.9312387398090034,0.4014629629629629,40.0,0.8888888888888888,0.8962443752163378,1.0,1,0.1994767248061531,0,1,0.0,5.999999999999997,1.0,481.75555555555553,108.55344582900656,1198.8,1200.0,1200.0,1.3772282916761829,improved_rl_isac,2,108.55344582900656,108.55344582900656,1,1200.0,0.25,45.0,2
1.68849325059255,2,8.0,0.0066666666666666,0.9601089853033168,0.4008888888888889,40.0,0.8888888888888888,0.9051151556974036,1.0,1,0.1292713796951956,1,1,0.0,5.697224362268008,1.0,481.06666666666666,107.11270758628083,1160.0000000000002,1200.0,1200.0,0.746132418394591,improved_rl_isac,2,107.11270758628083,107.11270758628083,1,1200.0,2.86246186219351,45.0,3
1.8910818514282528,5,10.0,0.0083333333333333,0.995,0.3842777777777778,42.0,0.9333333333333332,0.8918568464730291,1.0,1,0.1162222674897859,1,1,0.0,6.999999999999998,1.0,461.1333333333333,118.80119640387277,1011.8,1170.9999999999995,1200.0,0.5,improved_rl_isac,1,118.80119640387277,118.80119640387277,1,1200.0,3.055060566454072,45.0,4
1.8235900901776736,0,18.0,0.015,0.995,0.3917407407407408,39.0,0.8666666666666667,0.8931561232415638,1.0,1,0.1448252897479995,2,1,0.0,6.999999999999998,1.0,470.0888888888889,111.75132197961317,1200.0,1200.0,1200.0,0.7012018757423428,improved_rl_isac,2,111.75132197961317,111.75132197961317,1,1200.0,2.364690110874338,45.0,5
2.256281621215908,5,6.0,0.005,0.995,0.3944999999999999,40.0,0.8888888888888888,0.9037062694838932,1.0,1,0.1377270052704683,2,1,0.0,6.999999999999997,1.0,473.4,113.879763499211,1152.8000000000002,1200.0,1200.0,1.0921908307476524,improved_rl_isac,1,113.879763499211,113.879763499211,1,1200.0,2.912738703938356,45.0,6
2.1098081979947496,0,4.0,0.0033333333333333,0.9947853225521528,0.3747037037037037,41.0,0.9111111111111112,0.8993340828504713,1.0,1,0.1483014543748778,3,1,0.0,5.829913513373967,1.0,449.6444444444445,110.96621924319372,1122.8,1200.0,1200.0,0.7246655656194257,improved_rl_isac,1,110.96621924319372,110.96621924319372,1,1200.0,2.5986286200549595,45.0,7
1.76859769214158,1,22.0,0.0183333333333333,0.9903114626823172,0.4125185185185185,39.0,0.8666666666666667,0.896004853106855,1.0,1,0.1503572684358969,3,1,0.0,5.999999999999994,1.0,495.02222222222224,106.00434738230732,1200.0,1200.0,1200.0,0.6600742448810992,improved_rl_isac,2,106.00434738230732,106.00434738230732,1,1200.0,2.602486990213241,45.0,8
2.025373012781067,3,14.0,0.0116666666666666,0.995,0.3667777777777777,41.0,0.9111111111111112,0.8978480684469795,1.0,1,0.1341777268016208,4,1,0.0,5.999999999999999,1.0,440.1333333333333,111.91748307550486,1042.2000000000005,1200.0,1200.0,0.7877055611543358,improved_rl_isac,2,111.91748307550486,111.91748307550486,1,1200.0,2.726445320557989,45.0,9
1.7290062787247988,5,10.0,0.0083333333333333,0.987398480879941,0.3764814814814815,43.0,0.9555555555555556,0.8964801522096342,1.0,1,0.1407558503358651,4,1,0.0,8.0,1.0,451.77777777777777,126.16484140025176,1014.6000000000004,1171.1999999999998,1200.0,0.6288489085640206,improved_rl_isac,1,126.16484140025176,126.16484140025176,1,1200.0,2.6355170120582336,45.0,10
