probe_group,variant,phase,episode,n,loss_mean,bc_mode_loss_mean,bc_beam_loss_mean,value_loss_mean,reward_mean_mean,mode_accuracy_mean,active_beam_accuracy_mean
core,flat,bc,0,3,6.011910120646159,1.374817927678426,4.2783308029174805,1.4576666355133057,0.03418333642184727,0.15208333333333335,0.12342193805716872
core,flat,bc,1,3,5.80267318089803,1.322766939798991,4.217802365620931,1.071032702922821,0.030858336016535703,0.36666666666666664,0.17926365267812416
core,flat,bc,2,3,5.721101442972819,1.2776304880777996,4.16108767191569,1.1521188020706177,0.03424167136351263,0.465,0.16087900887377315
core,flat,bc,3,3,5.629360516866048,1.234272837638855,4.08700704574585,1.2548678716023762,0.036902086188395765,0.49416666666666664,0.1971950041144519
core,flat,bc,4,3,5.540410995483398,1.1767977476119995,4.045379638671875,1.295391062895457,0.034814587483803366,0.49541666666666667,0.16123921557149098
core,flat,bc,5,3,5.47242530186971,1.1599178314208984,3.9862300554911294,1.3275131980578105,0.033575004587570796,0.4879166666666667,0.1840194774820746
core,flat,bc,6,3,5.287072658538818,1.1308757464090984,3.9145560264587402,0.9888854622840881,0.033122920741637536,0.48125,0.21055196760279096
core,flat,bc,7,3,5.31509256362915,1.090578595797221,3.8710386753082275,1.4360573689142864,0.04004792186121143,0.49499999999999994,0.16248664247940325
core,flat,bc,8,3,5.120165665944417,1.065628965695699,3.768259366353353,1.1671070059140523,0.0352604215343793,0.4695833333333333,0.19732035136472928
core,flat,bc,9,3,5.019666830698649,1.0405123631159465,3.732572317123413,1.008169154326121,0.02960000373423093,0.4675,0.17847791746578368
core,flat,bc,10,3,4.966523329416911,1.0027319192886353,3.708679755528768,1.0420125325520833,0.0269354153424501,0.48500000000000004,0.16532105017483964
core,flat,bc,11,3,4.908341566721599,0.9887813528378805,3.647536039352417,1.1095279455184937,0.037312502662340735,0.49291666666666667,0.19228107946669404
core,flat,bc,12,3,4.7032186190287275,0.9418920079867045,3.54180900255839,0.8990468978881836,0.0292770850161711,0.5187499999999999,0.17995432612073403
core,flat,bc,13,3,4.69438107808431,0.9221093853314718,3.5092429320017495,1.072750727335612,0.02845833698908487,0.5125000000000001,0.17095494256259847
core,flat,bc,14,3,4.490420023600261,0.9117520451545715,3.331465164820353,1.0090434551239014,0.03794583926598223,0.5033333333333334,0.21408764200592134
core,flat,bc,15,3,4.480246702829997,0.9062931736310323,3.33646567662557,0.9698793888092041,0.030731254567702565,0.50875,0.19450840586760632
core,flat,bc,16,3,4.364400068918864,0.9001382986704508,3.2299184799194336,0.9566697676976522,0.03601250424981113,0.49833333333333335,0.1925196663580733
core,flat,bc,17,3,4.311582724253337,0.8881765007972717,3.214499553044637,0.8546672463417053,0.0321375057101249,0.5170833333333333,0.21016826669719166
core,flat,bc,18,3,4.346452871958415,0.8606462677319845,3.155782699584961,1.3379447062810261,0.04424792155623433,0.5029166666666666,0.20445526341848672
core,flat,bc,19,3,4.190093994140625,0.8531443874041239,3.1631336212158203,0.7125796874364217,0.0313104204833507,0.49333333333333335,0.20270580439735553
core,flat,bc,20,3,4.256172180175781,0.8739045858383179,3.0855798721313477,1.2034829656283061,0.03844375163316723,0.4879166666666667,0.2169467893839593
core,flat,bc,21,3,4.259819587071736,0.8405116001764933,3.2190972169240317,0.8173987070719401,0.035925004631280864,0.5195833333333333,0.18213520518475615
core,flat,bc,22,3,4.237524350484212,0.8330056468645731,3.1194144090016684,1.1564124623934429,0.03830000385642047,0.5166666666666667,0.20834629821992642
core,flat,bc,23,3,4.083124160766602,0.8314072489738464,3.0471436182657876,0.8337345918019613,0.032597920546929,0.5116666666666667,0.21207147193036735
core,flat,bc,24,3,4.235970815022786,0.830848495165507,3.137529452641805,1.0855857332547505,0.036277085542678805,0.5033333333333333,0.20886023562445877
core,flat,bc,25,3,4.179008483886719,0.8575417598088583,3.03399666150411,1.1644705732663472,0.038762503614028235,0.49791666666666673,0.21558727581593226
core,flat,bc,26,3,4.262856960296631,0.8291796843210856,3.188756068547567,0.9940972526868185,0.03633750292162093,0.5125000000000001,0.19734671599919396
core,flat,bc,27,3,4.117012818654378,0.826500395933787,3.028720219930013,1.0612948536872864,0.03853750477234517,0.49541666666666667,0.22163091068644772
core,flat,bc,28,3,4.2316358884175616,0.8316592971483866,3.1357878049214682,1.0715592900911968,0.038420838614304835,0.50625,0.209315318867574
core,flat,bc,29,3,4.19943380355835,0.8396091063817342,3.115669329961141,0.9911034901936849,0.03307292113701497,0.5,0.21016715689238927
core,flat,bc,30,3,4.104416370391846,0.8321038087209066,3.006577173868815,1.0772099296251934,0.0272291687627633,0.5108333333333334,0.22968039251809405
core,flat,bc,31,3,4.0642538865407305,0.8347457051277161,3.0518646240234375,0.7247950832049052,0.032779169579346935,0.5125000000000001,0.21660948008050018
core,flat,bc,32,3,4.121552467346191,0.842155396938324,3.102910280227661,0.7202720840771993,0.028750003005067432,0.4795833333333333,0.1957549285846012
core,flat,bc,33,3,4.180309454600017,0.8158480525016785,3.0906185309092202,1.1100250681241353,0.03511042085786653,0.5145833333333334,0.22434236746501016
core,flat,bc,34,3,4.05421765645345,0.8366890947024027,2.988011598587036,0.9330183664957682,0.03878541911641754,0.5,0.22079293583312065
core,flat,bc,35,3,4.046345392862956,0.8289335171381632,2.9728707472483316,0.9926706751187643,0.038468755781650495,0.4791666666666667,0.21917189261948375
core,flat,bc,36,3,4.122106870015462,0.8353680769602457,3.0592485268910727,0.9248326420783997,0.03730000182986253,0.5,0.21716170620041975
core,flat,bc,37,3,4.175145785013835,0.8162135481834412,3.097745498021444,1.0599592129389446,0.04113333672285077,0.53125,0.2095996598841404
core,flat,bc,38,3,4.099821249643962,0.8217220107714335,3.0523695945739746,0.91823943456014,0.035097919404506635,0.505,0.2206090005658706
core,flat,bc,39,3,4.073484579722087,0.8381635745366415,2.973379453023275,1.062895933787028,0.039195836211244235,0.5099999999999999,0.22887625415881688
core,mask,bc,0,3,6.011910120646159,1.374817927678426,4.2783308029174805,1.4576666355133057,0.03418333642184727,0.15208333333333335,0.12342193805716872
